CID,race,gender,birthord,magebirth,medu,bthwht,breastfed,math,read,hhnum
159604,3,1,4,24,8,0,1,69,65,7
159605,3,0,6,26,8,0,1,72,69,7
159606,3,1,5,26,8,0,1,78,69,7
159801,3,1,1,27,12,0,0,89,94,4
161702,3,1,2,24,12,0,0,93,104,5
161703,3,1,3,26,12,0,0,97,74,5
162301,3,1,1,26,17,0,0,65,94,3
162901,3,1,1,22,12,0,1,102,118,4
162902,3,1,2,26,12,0,1,94,125,4
163401,3,0,1,31,16,0,0,93,107,3
163901,3,1,1,27,16,0,1,112,106,6
163902,3,1,2,29,16,0,1,108,109,6
164001,3,0,1,27,12,0,1,90,98,3
164002,3,1,2,31,12,0,1,113,98,3
164202,1,1,2,21,14,0,0,100,135,5
165003,1,1,3,29,12,0,0,109,109,8
165201,3,0,1,23,13,0,1,122,118,3
165501,3,1,1,28,14,0,1,88,95,4
165502,3,0,2,31,14,0,1,99,86,4
165601,3,0,1,26,12,0,1,104,107,4
165602,3,1,2,33,12,0,1,108,128,4
165701,3,1,1,30,14,0,1,94,88,4
166601,1,0,1,23,15,0,1,99,109,5
166602,1,0,2,25,15,0,1,92,116,5
166603,1,0,3,26,15,0,1,78,82,5
167402,3,0,2,26,12,0,1,105,87,2
167501,3,1,1,31,18,0,1,110,105,5
167601,3,1,1,25,18,0,1,123,118,4
167602,3,1,2,28,18,0,1,126,118,4
169003,1,1,3,25,12,0,0,105,98,5
170403,1,0,3,23,11,0,1,91,74,6
170404,1,0,4,25,11,0,1,90,99,6
171901,2,1,1,30,18,0,1,81,77,3
172501,3,0,1,25,11,0,1,102,113,3
173001,3,0,1,32,16,0,1,105,102,3
173301,3,0,1,26,16,0,1,118,90,3
173401,3,0,1,23,17,0,1,97,123,4
173402,3,1,2,27,17,0,1,113,126,4
173501,3,0,1,27,17,0,1,92,95,5
173502,3,0,2,30,17,0,0,103,111,5
174501,3,0,1,27,17,1,1,93,98,3
174702,3,1,2,26,13,0,1,111,123,2
175404,2,0,4,25,12,0,0,114,112,7
175405,2,0,5,29,12,0,1,92,88,7
176801,3,1,1,28,12,0,0,78,92,3
176902,3,1,2,23,12,0,0,94,84,4
177002,3,1,2,22,11,0,0,82,78,4
177601,3,0,1,29,12,0,0,112,113,4
178503,3,1,3,26,12,0,1,92,107,5
178602,3,0,2,20,12,0,1,107,125,6
178603,3,1,3,23,12,0,1,114,113,6
178604,3,1,4,28,12,0,1,117,109,6
179401,3,1,1,23,13,0,1,94,104,4
179402,3,0,2,28,13,0,0,102,112,4
180401,3,1,1,26,17,0,1,111,128,5
180402,3,1,2,30,17,0,1,123,131,5
182602,3,1,2,23,12,0,0,93,96,4
182903,2,1,3,29,13,0,1,90,88,3
183802,1,1,2,23,12,0,1,100,85,5
183803,1,0,3,26,12,0,1,82,86,5
183901,1,0,1,20,12,0,1,94,90,4
183902,1,1,2,22,12,0,1,113,100,4
184403,3,1,3,27,16,0,1,135,118,8
184405,3,0,5,30,16,0,1,122,117,8
184406,3,0,6,32,16,0,1,100,113,8
184801,1,1,1,23,13,0,0,111,135,4
184802,1,1,2,26,13,1,0,100,113,4
185301,3,1,1,24,12,0,1,114,125,6
185302,3,1,2,26,12,0,1,123,118,6
185802,3,1,2,27,18,0,1,116,125,4
186205,3,0,5,30,12,0,0,94,111,6
186301,3,0,1,28,12,0,0,81,99,5
186302,3,1,2,31,12,0,0,104,114,5
186501,3,0,1,24,12,0,1,93,111,3
186601,3,0,1,27,12,0,0,103,99,3
187001,3,0,1,23,14,1,0,103,116,3
187803,3,1,3,31,12,0,0,102,119,5
188001,3,0,1,28,20,0,0,128,108,4
188002,3,1,2,32,20,0,0,111,112,4
189601,3,1,1,28,15,0,1,117,122,4
189602,3,1,2,31,15,0,0,111,125,4
190402,3,1,2,24,12,0,1,111,114,5
191201,3,0,1,27,14,0,0,104,103,5
192601,3,0,1,28,12,0,0,93,100,4
192602,3,0,2,31,12,0,0,107,106,4
192701,3,1,1,22,12,0,1,114,135,6
192702,3,1,2,24,12,0,1,114,97,6
192703,3,0,3,29,12,0,1,103,97,6
193501,3,0,1,30,16,0,1,112,126,4
193502,3,1,2,33,16,0,1,135,122,4
193701,3,0,2,28,16,0,1,103,107,5
193702,3,1,1,28,16,0,1,120,110,5
193801,3,1,1,25,15,0,1,110,128,5
